#class	isLiteral
VegetableOil	false
AscendingFiberTract	false
SpinalWhiteMatter	false
ElectricFieldStrength	true
Catheter	false
MacrophageCell	false
PregnenoloneS	false
Dorsal	false
MinocyclineMC	false
Depth	true
RehabMedication	false
Electrodes	false
TargetCompound	false
VestibulospinalTract	false
Quipazine	false
PEGFITC	false
PhysicalImplantTreatment	false
MethylprednisoloneMP	false
OrthoBiotech	false
Distance	true
Sacral	false
Cannula	false
Antibody	false
Purification	false
MPSS	false
UmbilicalCordBloodStemCell	false
Contrallateral	false
MinipigSpecies	false
CompoundSupplier	false
CyclosporineA	false
Tetracycline	false
TailVeinLocation	false
Protein	false
GlialCell	false
SympatheticPreganglionicNeurons	false
InfusionDelivery	false
ImmuneCell	false
SpinalGrayMatter	false
Gelfoam	false
CephalicVeinLocation	false
Rolipram	false
Differentiation	false
Clodronate	false
NucleicAcid	false
Melatonin	false
VimentinAntiSenseDNA	false
RatSpecies	false
Pregabalin	false
Direction	false
VertebralArea	false
Caudal	false
VertebralSegment	false
Enzyme	false
AntiCD11dAntibody	false
DosageIntracorporal	false
SC58125	false
time#TemporalEntity	false
CurrentApplication	false
BW755C	false
L1	false
ImplantedDepotPellet	false
L2	false
L3	false
SchwannCell	false
L4	false
Pioglitazone	false
L5	false
Lentivirus	false
NewZealandRabbit	false
Micropipette	false
Albumin	false
BoneMarrowStemCell	false
SigmaAldrich	false
T11	false
T10	false
T13	false
T12	false
DescendingFiberTract	false
Lumbar	false
Thoracic	false
VertebralLocation	false
OsmoticMinipump	false
GreenFluorescentProtein	false
Seikagaku	false
RNA	false
StemCellSourceType	false
InVitroExperimentalProcedure	false
SerotonergicFibers	false
Extremity	false
IntraperitonealLocation	false
DragonPharmaceuticals	false
StudyDesign	false
AntiNG2Antibody	false
ArylsulfataseB	false
FischerRat	false
Penicillinase	false
Voltage	true
CompoundSource	false
RingersSolution	false
Magnesium	false
Ibuprofen	false
Cyst	false
Bilateral	false
AsialoEPO	false
AntiNogoAAntibody	false
LongEvansRat	false
MonkeySpecies	false
Cell	false
NektarTherapeuticsInc	false
Labeling	false
LewisRat	false
Iloprost	false
CD1_Mouse	false
SpinalDorsalHalf	false
RehabilitativeTraining	false
Lateral	false
Compound	false
17BetaEstradiolE2	false
VoltageApplication	false
Cervical	false
Progesterone	false
HematopoieticStemCell	false
Treatment	false
HematoxyLinEosin	false
Water	false
Embryonic	false
TakedaPharmaceuticalCompany	false
ExperimentalProcedure	false
Temperature	true
Estrogen	false
MacaqueMonkey	false
CD2_Mouse	false
Pregnenolone	false
BALB_C_Mouse	false
CorticospinalTract	false
Ipsilateral	false
BrainDerivedNeurotrophicFactor	false
qudt#Quantity	false
