#class	isLiteral
GastricUlcerogenesisTest	false
SpinalCord	false
Duration	true
Vertebrae	false
VentricularLocation	false
LesionAdjacentTissue	false
GaitPawRotation	false
ContactPlacingResponseTest	false
CentralNervousSystem	false
StainingLength	false
LimbRotation	false
HemorrhageTest	false
TectospinalTract	false
T50MeanArterialPressure	false
OligodendrogliaChangesTest	false
Location	false
ApoptosisTest	false
LadderRungTest	false
StainingDensity	false
ThermalWithdrawalLatency	false
CardioVascularFunctionTest	false
SinglePelletReachingTest	false
NeuroprotectionTest	false
AdhesiveRemovalTest	false
SensoryTest	false
BBBSubscoreTest	false
AxonalDamageTest	false
HistologicalInvestigationParameter	false
SpinalCentralPart	false
ManualDexterityTest	false
CatWalkBasedBBB	false
TyrosineHydroxylaseFibers	false
NarrowBeamTest	false
AnatomicalLocation	false
ElectrophysiologicalAmplitude	false
OxidativeStressTest	false
AxonalDiebackTest	false
PawLength	false
NonNeuronalCellChangesTest	false
RearingTest	false
SpinalCordStump	false
ElectrophysiologyParameter	false
TreadScan	false
SpasticityObservation	false
MotorEvokedPotentialsTest	false
HeartRate	false
Brain	false
TailFlickApparatus	false
HReflexTest	false
AscendingFiberTract	false
SpinalWhiteMatter	false
Dorsal	false
Depth	true
ScarringTest	false
GaitCoordination	false
VestibulospinalTract	false
HindpawSensationLatency	false
BladderFunctionTest	false
BodyWeightExamination	false
Distance	true
Diameter	false
Sacral	false
BMSTest	false
ErrorStepRatio	false
Contrallateral	false
UrinePressure	false
OpenFieldTest	false
ElectrophysiologicalDuration	false
ElectrophysiologicalLatency	false
NeurogenesisTest	false
TailVeinLocation	false
StepHeight	false
StaircaseTest	false
SympatheticPreganglionicNeurons	false
SpinalGrayMatter	false
PawWidth	false
CephalicVeinLocation	false
DigiGait	false
BaseOfSupport	false
ElectrophysiologicalThreshold	false
Direction	false
AxonalChangesTest	false
HindpawSensationThreshold	false
LocomotorTest	false
BloodBrainBarrierTest	false
VertebralArea	false
ThermalHyperalgesiaTest	false
Caudal	false
HindpawSensationTest	false
VertebralSegment	false
BladderFunctionParameter	false
MortalityObservation	false
StepParameter	false
SignalAbsence	false
NonFunctionalTest	false
time#TemporalEntity	false
UrineVoiding	false
L1	false
L2	false
VerticalGrid	false
L3	false
L4	false
WhishawApparatus	false
L5	false
RunwayScan	false
InflammationTest	false
RelativePawPlacement	false
GaitTest	false
T11	false
GaitAnalysisParameter	false
T10	false
T13	false
T12	false
DescendingFiberTract	false
Lumbar	false
Thoracic	false
VertebralLocation	false
AutomatedGaitAnalysis	false
Rotarod	false
SerotonergicFibers	false
StanceLength	false
Extremity	false
IntraperitonealLocation	false
ElectromyographyTest	false
AxonalSproutingTest	false
BladderSize	false
Cyst	false
Bilateral	false
Apparatus	false
BloodCirculationExamination	false
AngiogenesisTest	false
NeuronalCellLossTest	false
VascularFunctionParameter	false
ObservationOfAnimalBehaviour	false
AvoidanceResponseTest	false
BladderWeight	false
MotorTest	false
SpinalDorsalHalf	false
AstrogliosisTest	false
Lateral	false
InclinedPlaneTest	false
WalkingAnalysisTest	false
SomatosensoryEvokedPotentialsTest	false
Cervical	false
GroomingObservation	false
SignalPresence	false
NeuronalChangesTest	false
AwarenessLatency	false
HypoxicBreathingTest	false
HistologicalInvestigationTest	false
LimbMuscleStrengthTest	false
AutonomicDysreflexiaTest	false
NeuronalActivityTest	false
MeanArterialPressure	false
ImagingTest	false
CorticospinalTract	false
Ipsilateral	false
ElectrophysiologyTest	false
qudt#Quantity	false
SpinalCordEvokedPotentialsTest	false
CatWalkGaitAnalysisSystem	false
