#superClass	subClass
LimbMuscleStrengthTest	ForelimbStrengthTest
GaitAnalysisParameter	SwingDuration
NeurologicScalesTest	GaleRatingScoreTest
HistologicalInvestigationTest	SecondaryDegenerationTest
Apparatus	HargreavesApparatus
LocomotorTest	FootprintAnalysisTest
Direction	Right
SubstanceApplicationLocation	IntramuscularLocation
SubstanceApplicationLocation	VeinLocation
FunctionalTest	PhysiologyTest
SubstanceApplicationLocation	FemoralVeinLocation
Direction	Ventral
StepParameter	StepError
NeuronalChangesTest	MyelinationTest
SpinalCord	Intrathecal
SecondaryDegenerationTest	ToxicityTest
Location	TreatmentSite
Direction	Longitudinal
PhysiologyTest	GastricUlcerogenesisTest
CentralNervousSystem	SpinalCord
qudt#Quantity	Duration
VertebralLocation	Vertebrae
SubstanceApplicationLocation	VentricularLocation
SpinalCord	LesionAdjacentTissue
GaitAnalysisParameter	GaitPawRotation
MotorReflexTest	ContactPlacingResponseTest
AnatomicalLocation	CentralNervousSystem
HistologicalInvestigationParameter	StainingLength
GaitAnalysisParameter	LimbRotation
SecondaryDegenerationTest	HemorrhageTest
DescendingFiberTract	TectospinalTract
VascularFunctionParameter	T50MeanArterialPressure
NonNeuronalCellChangesTest	OligodendrogliaChangesTest
SecondaryDegenerationTest	ApoptosisTest
LocomotorTest	LadderRungTest
HistologicalInvestigationParameter	StainingDensity
ThermalHyperalgesiaParameter	ThermalWithdrawalLatency
PhysiologyTest	CardioVascularFunctionTest
MotorTest	SinglePelletReachingTest
NeuronalChangesTest	NeuroprotectionTest
SensoryTest	AdhesiveRemovalTest
FunctionalTest	SensoryTest
NeurologicScalesTest	BBBSubscoreTest
AxonalChangesTest	AxonalDamageTest
ObservedParameter	HistologicalInvestigationParameter
Intraspinal	SpinalCentralPart
MotorTest	ManualDexterityTest
ObservedParameter	CatWalkBasedBBB
SpinalFiber	TyrosineHydroxylaseFibers
GaitTest	NarrowBeamTest
Location	AnatomicalLocation
ElectrophysiologyParameter	ElectrophysiologicalAmplitude
SecondaryDegenerationTest	OxidativeStressTest
AxonalChangesTest	AxonalDiebackTest
GaitAnalysisParameter	PawLength
HistologicalInvestigationTest	NonNeuronalCellChangesTest
ForelimbAsymmetryTest	RearingTest
Location	SpinalCordStump
ObservedParameter	ElectrophysiologyParameter
Apparatus	TreadScan
ObservationOfAnimalBehaviour	SpasticityObservation
ElectrophysiologyTest	MotorEvokedPotentialsTest
VascularFunctionParameter	HeartRate
CentralNervousSystem	Brain
Apparatus	TailFlickApparatus
ElectrophysiologyTest	HReflexTest
SpinalFiberTract	AscendingFiberTract
Intraspinal	SpinalWhiteMatter
Direction	Dorsal
qudt#Quantity	Depth
HistologicalInvestigationTest	ScarringTest
GaitAnalysisParameter	GaitCoordination
DescendingFiberTract	VestibulospinalTract
HindpawSensationParameter	HindpawSensationLatency
PhysiologyTest	BladderFunctionTest
PhysiologyTest	BodyWeightExamination
qudt#Quantity	Distance
HistologicalInvestigationParameter	Diameter
VertebralSegment	Sacral
NeurologicScalesTest	BMSTest
StepParameter	ErrorStepRatio
Direction	Contrallateral
BladderFunctionParameter	UrinePressure
NeurologicScalesTest	OpenFieldTest
ElectrophysiologyParameter	ElectrophysiologicalDuration
ElectrophysiologyParameter	ElectrophysiologicalLatency
NeuronalChangesTest	NeurogenesisTest
SubstanceApplicationLocation	TailVeinLocation
GaitAnalysisParameter	StepHeight
MotorTest	StaircaseTest
Location	SympatheticPreganglionicNeurons
Intraspinal	SpinalGrayMatter
GaitAnalysisParameter	PawWidth
SubstanceApplicationLocation	CephalicVeinLocation
Apparatus	DigiGait
GaitAnalysisParameter	BaseOfSupport
ElectrophysiologyParameter	ElectrophysiologicalThreshold
SpatialDimensions	Direction
NeuronalChangesTest	AxonalChangesTest
HindpawSensationParameter	HindpawSensationThreshold
FunctionalTest	LocomotorTest
PhysiologyTest	BloodBrainBarrierTest
VertebralLocation	VertebralArea
PainTest	ThermalHyperalgesiaTest
Direction	Caudal
SensoryTest	HindpawSensationTest
VertebralLocation	VertebralSegment
ObservedParameter	BladderFunctionParameter
ObservationOfAnimalBehaviour	MortalityObservation
WalkingAnalysisParameter	StepParameter
ElectrophysiologyParameter	SignalAbsence
InvestigationMethod	NonFunctionalTest
BladderFunctionParameter	UrineVoiding
Vertebrae	L1
Vertebrae	L2
Apparatus	VerticalGrid
Vertebrae	L3
Vertebrae	L4
Apparatus	WhishawApparatus
Vertebrae	L5
Apparatus	RunwayScan
NonNeuronalCellChangesTest	InflammationTest
GaitAnalysisParameter	RelativePawPlacement
FunctionalTest	GaitTest
Vertebrae	T11
ObservedParameter	GaitAnalysisParameter
Vertebrae	T10
Vertebrae	T13
Vertebrae	T12
SpinalFiberTract	DescendingFiberTract
VertebralSegment	Lumbar
VertebralSegment	Thoracic
Location	VertebralLocation
GaitTest	AutomatedGaitAnalysis
Apparatus	Rotarod
SpinalFiber	SerotonergicFibers
GaitAnalysisParameter	StanceLength
AnatomicalLocation	Extremity
SubstanceApplicationLocation	IntraperitonealLocation
ElectrophysiologyTest	ElectromyographyTest
AxonalChangesTest	AxonalSproutingTest
BladderFunctionParameter	BladderSize
Location	Cyst
Direction	Bilateral
CardioVascularFunctionTest	BloodCirculationExamination
NonNeuronalCellChangesTest	AngiogenesisTest
NeuronalChangesTest	NeuronalCellLossTest
ObservedParameter	VascularFunctionParameter
InvestigationMethod	ObservationOfAnimalBehaviour
PainTest	AvoidanceResponseTest
BladderFunctionParameter	BladderWeight
FunctionalTest	MotorTest
Intraspinal	SpinalDorsalHalf
NonNeuronalCellChangesTest	AstrogliosisTest
Direction	Lateral
MotorTest	InclinedPlaneTest
LocomotorTest	WalkingAnalysisTest
ElectrophysiologyTest	SomatosensoryEvokedPotentialsTest
VertebralSegment	Cervical
ObservationOfAnimalBehaviour	GroomingObservation
ElectrophysiologyParameter	SignalPresence
HistologicalInvestigationTest	NeuronalChangesTest
AdhesiveRemovalParameter	AwarenessLatency
BreathingTest	HypoxicBreathingTest
NonFunctionalTest	HistologicalInvestigationTest
MotorTest	LimbMuscleStrengthTest
CardioVascularFunctionTest	AutonomicDysreflexiaTest
NeuronalChangesTest	NeuronalActivityTest
VascularFunctionParameter	MeanArterialPressure
InvestigationMethod	ImagingTest
DescendingFiberTract	CorticospinalTract
Direction	Ipsilateral
FunctionalTest	ElectrophysiologyTest
ElectrophysiologyTest	SpinalCordEvokedPotentialsTest
Apparatus	CatWalkGaitAnalysisSystem
