#superClass	subClass
Anaesthetic	FluanisoneMidazolamMixture
InVitroExperimentalProcedure	Transfection
Vertebrae	C1
InjuryByAccidentType	LaminectomyType
Vertebrae	C2
Vertebrae	C3
Vertebrae	C4
Virus	Retrovirus
Compound	Tissue
Vertebrae	C5
Vertebrae	C6
Vertebrae	C7
CompoundSupplier	ChinaShenyangSunshinePharmaceuticalCompany
DeliveryMethod	InjectionDelivery
AnimalSpecies	CatSpecies
Intraspinal	SpinalLesionSite
InjuryArea	TShapedLesion
Vertebrae	T1
OrganismSpecies	HumanSpecies
Vertebrae	T2
DescendingFiberTract	RubrospinalTract
Vertebrae	T3
Vertebrae	T4
Anaesthetic	Diazepam
Vertebrae	T5
DistractorDevices	DislocationDevice
Vertebrae	T6
qudt#Quantity	Weight
Intrathecal	Epidural
Vertebrae	T7
CompoundBiologicalRelation	Syngenic
Vertebrae	T8
Vertebrae	T9
OrganismSpecies	AnimalSpecies
WeightDrop	MASCISImpactor
Anaesthetic	Halothane
qudt#Quantity	LightIntensity
Anaesthetic	Xylazine
Substance	Methanesulfonamide
CompoundSource	CompoundBiologicalRelation
Substance	Poloxamer
CuttingDevice	Scissors
time#TemporalEntity	Event
Lentivirus	NT3Lentivirus
Location	MotorNeurons
PartialTransection	LateralHemisection
Direction	Perpendicular
RatSpecies	ListerHoodedRat
DeliveryMethod	MicrodialysisDelivery
Injury	Contusion
Vehicle	Saline
WeightDrop	UnivOfTriesteImpactor
InVitroExperimentalProcedure	LongTermCultivation
qudt#Quantity	Dosage
Injury	Dislocation
Direction	Right
SubstanceApplicationLocation	IntramuscularLocation
SubstanceApplicationLocation	VeinLocation
SubstanceApplicationLocation	FemoralVeinLocation
Direction	Ventral
CompoundSupplier	NovartisMexico
Substance	Vehicle
Clip	AneurysmClip
Substance	Lipopolysaccharide
Vehicle	NS398
SpinalCord	Intrathecal
PostSurgeryCondition	BladderExpression
Location	TreatmentSite
Direction	Longitudinal
Vehicle	PBS
Protein	Neurotrophin3
17BetaEstradiolE2	AtorvastatinAT
Hormone	DehydroEpiandrosteroneSulfate
Cell	StemCell
InjuryByAccidentType	DistractionType
CentralNervousSystem	SpinalCord
RatSpecies	AlbinoSwissRat
InVitroExperimentalProcedure	Proliferation
VertebralLocation	Vertebrae
qudt#Quantity	Duration
Substance	PolyethyleneGlycolPEG
Substance	Mexiletine
SubstanceApplicationLocation	VentricularLocation
SpinalCord	LesionAdjacentTissue
InjuryIntensity	SevereInjury
MedicationDuringSurgery	Anaesthetic
DistractorDevices	UTADistractor
AnimalSpecies	DogSpecies
AnatomicalLocation	CentralNervousSystem
Substance	Inosine
Cell	Fibroblast
CompoundSupplier	RocheMexico
DescendingFiberTract	TectospinalTract
qudt#Quantity	Force
Vehicle	DMSO
Poloxamer	P188
RatSpecies	WistarRat
DeliveryMethod	OralDelivery
GuineaPigSpecies	HartleyGuineaPig
InjuryIntensity	ModerateInjury
Compound	Matrix
CompoundSupplier	ICOSCorporation
Intraspinal	SpinalCentralPart
SpinalFiber	TyrosineHydroxylaseFibers
DistractorDevices	HarringtonDistractor
InjuryDevice	Forceps
Location	AnatomicalLocation
Substance	AcetylsalicylicAcid
InjuryIntensity	MildInjury
AnimalSpecies	GuineaPigSpecies
Protein	Hormone
InVitroExperimentalProcedure	ShortTermCultivaton
AnimalCareCondition	MedicationDuringSurgery
Location	SpinalCordStump
KeepingCondition	Housing
Substance	Ketamine
InVitroExperimentalProcedure	Dedifferentiation
Substance	LithiumChloride
NucleicAcid	DNA
Substance	Dipyridamol
MedicationDuringSurgery	AtropineSulfate
Balloon	FogartyBalloonCatheter
Clip	IrisClip
CentralNervousSystem	Brain
WeightDrop	OSUImpactor
Hormone	Erythropoietin
Vehicle	VegetableOil
InjuryDevice	Balloon
SpinalFiberTract	AscendingFiberTract
ShamOperation	Laminectomy
Intraspinal	SpinalWhiteMatter
ImmuneCell	MacrophageCell
Hormone	PregnenoloneS
Direction	Dorsal
PostsurgicalMedication	AntibioticMedication
Substance	MinocyclineMC
qudt#Quantity	Depth
Compound	TargetCompound
DescendingFiberTract	VestibulospinalTract
Substance	PEGFITC
BodyTemperatureMeasurement	MeasurementOfIncreasingTemperature
Substance	MethylprednisoloneMP
CompoundSupplier	OrthoBiotech
qudt#Quantity	Distance
VertebralSegment	Sacral
Protein	Antibody
InVitroExperimentalProcedure	Purification
Substance	MPSS
StemCell	UmbilicalCordBloodStemCell
Direction	Contrallateral
AnimalSpecies	MinipigSpecies
InjuryByAccidentType	ContusionType
CompoundSource	CompoundSupplier
qudt#Quantity	Pressure
Substance	CyclosporineA
InjuryDevice	RadiofrequencyLesionDevice
Substance	Tetracycline
SubstanceApplicationLocation	TailVeinLocation
TargetCompound	Protein
Cell	GlialCell
Location	SympatheticPreganglionicNeurons
DeliveryMethod	InfusionDelivery
Cell	ImmuneCell
Intraspinal	SpinalGrayMatter
SubstanceApplicationLocation	CephalicVeinLocation
Substance	Rolipram
InVitroExperimentalProcedure	Differentiation
Substance	Clodronate
InjuryByAccidentType	CompressionType
TargetCompound	NucleicAcid
Hormone	Melatonin
AnimalCareCondition	PostSurgeryCondition
Event	Injury
DNA	VimentinAntiSenseDNA
AnimalSpecies	RatSpecies
Substance	Pregabalin
Injury	PhotochemicalInjury
SpatialDimensions	Direction
Anaesthetic	SodiumPentobarbital
VertebralLocation	VertebralArea
Direction	Caudal
VertebralLocation	VertebralSegment
AnimalCareCondition	KeepingCondition
Protein	Enzyme
Antibody	AntiCD11dAntibody
Dosage	DosageIntracorporal
Substance	SC58125
Substance	BW755C
Vertebrae	L1
Vertebrae	L2
Vertebrae	L3
GlialCell	SchwannCell
Vertebrae	L4
Substance	Pioglitazone
Vertebrae	L5
Retrovirus	Lentivirus
RabbitSpecies	NewZealandRabbit
Protein	Albumin
StemCell	BoneMarrowStemCell
CompoundSupplier	SigmaAldrich
Vertebrae	T11
Vertebrae	T10
Vertebrae	T13
Vertebrae	T12
SpinalFiberTract	DescendingFiberTract
Injury	PartialTransection
VertebralSegment	Lumbar
VertebralSegment	Thoracic
Location	VertebralLocation
Injury	Distraction
InjuryDevice	LightSource
Injury	Compression
Protein	GreenFluorescentProtein
CompoundSupplier	Seikagaku
DistractorDevices	UBCMultimechanismDevice
InjuryArea	DorsolateralInjuryArea
NucleicAcid	RNA
ExperimentalProcedure	InVitroExperimentalProcedure
SpinalFiber	SerotonergicFibers
AnatomicalLocation	Extremity
BodyTemperatureMeasurement	MeasurementOfDecreasingTemperature
SubstanceApplicationLocation	IntraperitonealLocation
CompoundSupplier	DragonPharmaceuticals
InjuryArea	VentralInjuryArea
InjuryDevice	Clip
Antibody	AntiNG2Antibody
Enzyme	ArylsulfataseB
RatSpecies	FischerRat
Enzyme	Penicillinase
CuttingDevice	ScoutenWireKnife
Injury	InjuryByAccident
Vehicle	RingersSolution
Substance	Magnesium
Substance	Ibuprofen
Location	Cyst
WeightDrop	AllenWeightDropDevice
Direction	Bilateral
Hormone	AsialoEPO
Antibody	AntiNogoAAntibody
InjuryArea	QuadrantInjuryArea
RatSpecies	LongEvansRat
InjuryByAccidentType	DislocationType
AnimalSpecies	MonkeySpecies
Compound	Cell
CompoundSupplier	NektarTherapeuticsInc
InVitroExperimentalProcedure	Labeling
RatSpecies	LewisRat
Substance	Iloprost
MouseSpecies	CD1_Mouse
CuttingDevice	Blade
Intraspinal	SpinalDorsalHalf
Direction	Lateral
Hormone	17BetaEstradiolE2
Anaesthetic	Isoflurane
Anaesthetic	NitrousOxide
VertebralSegment	Cervical
Hormone	Progesterone
StemCell	HematopoieticStemCell
Substance	HematoxyLinEosin
InjuryByAccidentType	CompleteTransectionType
Vehicle	Water
StemCellSourceType	Embryonic
CompoundSupplier	TakedaPharmaceuticalCompany
StudyDesign	ExperimentalProcedure
Hormone	Estrogen
MonkeySpecies	MacaqueMonkey
MouseSpecies	CD2_Mouse
AnimalCareCondition	BodyTemperatureMeasurement
InjuryArea	UnilateralInjuryArea
Injury	ElectrolyticLesion
Hormone	Pregnenolone
InjuryDevice	AirGunImpactor
Clip	EpiduralClip
InjuryByAccidentType	PartialTransectionType
MouseSpecies	BALB_C_Mouse
DescendingFiberTract	CorticospinalTract
Direction	Ipsilateral
Protein	BrainDerivedNeurotrophicFactor
InjuryArea	CompleteInjuryArea
PartialTransection	VentralHemisection
MedicationDuringSurgery	Sedative
PostSurgeryCondition	PostsurgicalMedication
Injury	ChemicalInjury
